Designator,Mid X,Mid Y,Rotation,Layer
_4,257.96875,-65.0875,0.0,top
_3,159.54375,-65.0875,0.0,top
_2,159.54375,-159.54375,0.0,top
,257.96875,-159.54375,0.0,top
